President	Rank	Freq	Cluster
Obama	1	3	my administration
Obama	2	3	my mother
Obama	3	2	my country
Obama	4	2	my desk
Obama	5	2	my fellow
Obama	6	2	my first
Obama	7	2	my nation
Obama	8	2	my sister
Trump	1	8	my administration
Trump	2	3	my greatest
Trump	3	2	my brother
Trump	4	2	my fellow
Trump	5	2	my highest
